ACCESSION: CCMSLIB00000085005
RECORD_TITLE: decoy
DATE: 2015.11.20
AUTHORS: Administrator
LICENSE: CC BY-SA
CH$NAME: decoy
CH$COMPOUND_CLASS: Natural Product
CH$FORMULA: C18H20N2O6
CH$EXACT_MASS: 360.13213636
CH$SMILES: N/A
CH$IUPAC: decoy
CH$LINK: N/A
AC$INSTRUMENT: decoy
AC$INSTRUMENT_TYPE: decoy
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 10 V
MS$FOCUSED_ION: PRECURSOR_M/Z 361
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$NUM_PEAK: 1304
PK$PEAK: m/z int. rel.int.
  44.963406 144.0 4
  44.972172 184.0 6
  45.222195 96.0 3
  45.247066000000004 212.0 6
  45.576653 144.0 4
  45.600613 172.0 5
  45.892864 168.0 5
  46.345356 44.0 1
  46.512894 84.0 3
  46.535641 260.0 8
  46.758732 152.0 5
  46.830517 100.0 3
  47.114338000000004 200.0 6
  47.147194 164.0 5
  47.469364 184.0 6
  47.867786 152.0 5
  47.954185 128.0 4
  48.08588 176.0 5
  48.727322 204.0 6
  48.908974 224.0 7
  48.916981 108.0 3
  48.997833 156.0 5
  49.222576000000004 96.0 3
  49.292892 132.0 4
  49.332554 204.0 6
  49.78495 148.0 4
  49.83844 144.0 4
  49.872738 212.0 6
  50.796177 176.0 5
  50.860329 208.0 6
  50.985291000000004 196.0 6
  51.069649 128.0 4
  51.351467 168.0 5
  51.379818 224.0 7
  51.439713000000005 160.0 5
  51.644608 72.0 2
  51.663269 144.0 4
  51.744572 144.0 4
  51.918983000000004 196.0 6
  52.104973 172.0 5
  52.292332 140.0 4
  52.471622 228.0 7
  52.91201 396.0 12
  53.31974 168.0 5
  53.469612000000005 124.0 4
  53.51511 136.0 4
  53.528572000000004 136.0 4
  53.566265 140.0 4
  53.56974 188.0 6
  53.587078 120.0 4
  54.013435 160.0 5
  54.371601 108.0 3
  54.971584 144.0 4
  55.802303 136.0 4
  56.107086 264.0 8
  56.221134 92.0 3
  56.366302000000005 180.0 5
  56.382927 160.0 5
  57.267029 164.0 5
  57.305882000000004 136.0 4
  57.504208 176.0 5
  57.689278 164.0 5
  57.971996000000004 180.0 5
  58.460262 164.0 5
  58.897339 120.0 4
  59.162468000000004 200.0 6
  59.344853 236.0 7
  59.698826000000004 164.0 5
  59.989136 292.0 9
  61.145565000000005 156.0 5
  61.502171000000004 188.0 6
  61.509438 164.0 5
  61.527462 176.0 5
  61.528934 332.0 10
  61.577991000000004 144.0 4
  61.728069000000005 240.0 7
  61.820499 148.0 4
  62.045994 324.0 10
  62.161488 116.0 3
  62.161549 164.0 5
  62.214916 212.0 6
  62.729553 204.0 6
  63.111237 172.0 5
  63.159893000000004 56.0 2
  63.22752 44.0 1
  63.280605 288.0 9
  63.340096 372.0 11
  63.414124 132.0 4
  63.878906 188.0 6
  63.983448 120.0 4
  64.329514 176.0 5
  64.38977799999999 192.0 6
  64.459816 184.0 6
  65.098114 124.0 4
  65.57103699999999 196.0 6
  65.757301 232.0 7
  66.207329 120.0 4
  66.297905 192.0 6
  66.603287 228.0 7
  66.650337 160.0 5
  66.665787 152.0 5
  66.706024 140.0 4
  66.87385599999999 180.0 5
  66.87776199999999 164.0 5
  66.88209499999999 324.0 10
  67.067551 164.0 5
  67.208694 128.0 4
  67.42663599999999 76.0 2
  67.480522 196.0 6
  68.323853 204.0 6
  68.54654699999999 136.0 4
  68.593605 160.0 5
  68.601997 220.0 7
  68.676491 116.0 3
  68.772224 172.0 5
  68.88317099999999 288.0 9
  69.426407 164.0 5
  69.539734 140.0 4
  70.57659899999999 156.0 5
  70.68598899999999 96.0 3
  70.920464 188.0 6
  70.931953 152.0 5
  71.575012 192.0 6
  71.58045999999999 168.0 5
  71.84468799999999 392.0 12
  71.91984599999999 208.0 6
  72.170609 56.0 2
  72.89804099999999 212.0 6
  73.060051 176.0 5
  73.234978 144.0 4
  73.542969 188.0 6
  73.64617899999999 224.0 7
  73.665306 156.0 5
  73.671753 184.0 6
  73.96547699999999 208.0 6
  73.993202 224.0 7
  74.06053899999999 172.0 5
  74.22908 124.0 4
  74.524582 196.0 6
  74.86943799999999 96.0 3
  74.90103099999999 52.0 2
  75.487411 96.0 3
  75.511589 152.0 5
  76.163422 184.0 6
  76.72696699999999 152.0 5
  76.771835 192.0 6
  76.781898 192.0 6
  76.874741 192.0 6
  77.240364 180.0 5
  77.345711 184.0 6
