ACCESSION: CCMSLIB00000078644
RECORD_TITLE: decoy
DATE: 2015.11.20
AUTHORS: Administrator
LICENSE: CC BY-SA
CH$NAME: decoy
CH$COMPOUND_CLASS: Natural Product
CH$FORMULA: C9H11Cl2N3O4S2
CH$EXACT_MASS: 358.956803192
CH$SMILES: N/A
CH$IUPAC: decoy
CH$LINK: N/A
AC$INSTRUMENT: decoy
AC$INSTRUMENT_TYPE: decoy
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 10 V
MS$FOCUSED_ION: PRECURSOR_M/Z 360
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$NUM_PEAK: 139
PK$PEAK: m/z int. rel.int.
  48.217033 164.0 0
  49.573853 164.0 0
  54.378376 116.0 0
  54.66106 216.0 0
  55.312901000000004 236.0 0
  55.976589000000004 196.0 0
  63.084427 188.0 0
  63.292576000000004 204.0 0
  71.863495 152.0 0
  78.828209 144.0 0
  81.48443599999999 164.0 0
  82.251785 200.0 0
  82.339334 180.0 0
  83.99299599999999 180.0 0
  85.372559 152.0 0
  87.21112099999999 128.0 0
  87.497299 92.0 0
  90.098373 156.0 0
  98.002876 156.0 0
  98.05171999999999 112.0 0
  98.411919 72.0 0
  98.91513099999999 168.0 0
  100.141846 176.0 0
  100.627281 168.0 0
  101.176971 152.0 0
  102.168076 144.0 0
  103.05433699999999 52.491211 0
  103.098 133196.0 106
  103.70928199999999 176.0 0
  103.74936699999999 220.0 0
  104.488182 52.0 0
  104.553101 140.0 0
  104.939865 264.0 0
  105.056854 208.0 0
  106.042542 228.0 0
  107.750565 152.0 0
  109.140778 268.0 0
  112.087502 228.0 0
  115.057442 136.0 0
  115.185814 208.0 0
  116.938721 216.0 0
  119.69307699999999 5.651923 0
  120.993828 65.117653 0
  123.338943 176.0 0
  123.757706 10.47115 0
  124.52501699999999 192.0 0
  127.960365 216.0 0
  130.855255 180.0 0
  136.04863 148.0 0
  137.265625 100.0 0
  137.411194 184.0 0
  138.45207200000002 188.0 0
  139.01538100000002 176.0 0
  140.819244 164.0 0
  141.22254900000001 40.0 0
  141.789612 148.0 0
  141.93330400000002 188.0 0
  145.07586700000002 440.0 0
  145.631561 44.0 0
  145.744705 204.0 0
  146.690704 164.0 0
  146.720673 208.0 0
  148.061249 452.0 0
  148.427887 176.0 0
  150.02710000000002 176.0 0
  150.901184 188.0 0
  151.035156 1032.0 1
  151.14617900000002 160.0 0
  155.491837 152.0 0
  157.212311 208.0 0
  158.03739900000002 236.0 0
  158.754852 220.0 0
  159.083328 296.0 0
  160.31701700000002 12.15341 0
  161.04731800000002 6452.0 5
  163.001617 1004.0 1
  163.123795 104.0 0
  165.069717 516.0 0
  171.606186 180.0 0
  172.07363900000001 256.0 0
  172.83900500000001 124.0 0
  174.352731 32.0 0
  174.970505 164.0 0
  178.760986 128.0 0
  181.079971 740.0 1
  182.069565 220.0 0
  183.997284 16.670139 0
  186.39743 148.0 0
  187.104355 136.0 0
  187.99374400000002 164.0 0
  189.418045 76.0 0
  190.04641700000002 164.0 0
  190.333978 172.0 0
  196.032562 136.0 0
  197.058212 172.0 0
  203.482437 128.0 0
  205.184647 108.0 0
  208.419022 108.0 0
  211.076614 280.0 0
  211.265915 152.0 0
  214.93566900000002 72.0 0
  218.128701 504.0 0
  224.250885 61.268551 0
  226.142197 1136.0 1
  229.048538 192.0 0
  231.87149000000002 124.0 0
  234.314636 96.0 0
  234.942642 60.0 0
  239.07281500000002 172.0 0
  241.04637100000002 318.0 0
  243.82392900000002 28.0 0
  248.76289400000002 120.0 0
  251.13969400000002 71.671288 0
  253.815765 6.03592 0
  257.957153 180.0 0
  262.087677 1208.0 1
  264.572754 32.0 0
  265.121063 1804.0 1
  266.15518199999997 132.0 0
  268.066986 1251764.0 999
  271.106812 484.0 0
  271.455536 228.0 0
  274.14975 28.0 0
  278.984833 2.694444 0
  280.41189599999996 32.0 0
  284.296075 180.0 0
  288.05483999999996 5415.0 4
  289.798706 220.0 0
  291.168274 520.0 0
  297.171051 196.0 0
  307.38226299999997 124.0 0
  308.123291 61.042809 0
  315.769226 136.0 0
  329.384094 148.0 0
  336.36114499999996 80.0 0
  349.150848 1848.0 1
  352.261871 100.293602 0
  356.40448 120.0 0
  359.96225 2440.0 2
//
