query	target	target_inchi	score
Clarithromycin	CCMSLIB00000078509	decoy	0.8147550734121992
Azithromycin	CCMSLIB00000078309	decoy	0.737406746443883
Indomethacin	CCMSLIB00000078256	decoy	0.7124433806879241
Telmisartan	CCMSLIB00000085355	decoy	0.7042193960333113
Erythromycin	CCMSLIB00000075305	decoy	0.702968868926149
Terbutryn	CCMSLIB00000084989	decoy	0.684792414651002
Cyclophosphamide	CCMSLIB00000004304	decoy	0.6246950163069375
Fluconazole	CCMSLIB00000077102	decoy	0.5993382291299365
Hydrochlorothiazide	CCMSLIB00000077019	decoy	0.549309083583709
DEET	CCMSLIB00000086136	decoy	0.5356773283709754
Citalopram	CCMSLIB00000079143	decoy	0.47868460097556903
Erythromycin	CCMSLIB00000075305	decoy	0.46659786027694344
Bicalutamide	CCMSLIB00000005728	decoy	0.4512695594770339
Simvastatin	CCMSLIB00000078292	decoy	0.4475909051298758
Biochanin_A	CCMSLIB00000080392	decoy	0.39931468145797383
1-(3-(Trifluoromethyl)phenyl)piperazine	CCMSLIB00000079198	decoy	0.38401442817895814
Reserpine	CCMSLIB00000006373	decoy	0.38115203433599826
Ritonavir	CCMSLIB00000078032	decoy	0.379554330038171
Xanthohumol	CCMSLIB00000078814	decoy	0.3665212950890304
Ranitidine	CCMSLIB00000006508	decoy	0.36503381491113795
S,R-Noscapine	CCMSLIB00000084776	decoy	0.34126359226156483
Trimethoprim	CCMSLIB00000076995	decoy	0.34014167165326736
Lamotrigine	CCMSLIB00000085914	decoy	0.3349265353905103
Valsartan	CCMSLIB00000079130	decoy	0.32929153288608254
Amentoflavone	CCMSLIB00000079694	decoy	0.3119738898407127
Fluoxetine	CCMSLIB00000077145	decoy	0.3089762121598194
Prednisolone	CCMSLIB00000086041	decoy	0.3085104661382882
Ifosfamide	CCMSLIB00000004304	decoy	0.30664772049321587
Quercetin	CCMSLIB00000085337	decoy	0.2766424311001281
Clotrimazole	CCMSLIB00000084767	decoy	0.2658583708421464
Reserpine	CCMSLIB00000006373	decoy	0.2622415292827091
Amisulpride	CCMSLIB00000079484	decoy	0.2588153145048294
Sulfadimethoxine	CCMSLIB00000084763	decoy	0.2199301200315505
Salsolinol	CCMSLIB00000085608	decoy	0.21382590688025596
Resveratrol	CCMSLIB00000085353	decoy	0.20153755881714436
Diclofenac	CCMSLIB00000078567	decoy	0.19236703840351377
Trans-Zeatin	CCMSLIB00000079576	decoy	0.17281707006027053
Genistein	CCMSLIB00000078874	decoy	0.17124933168190437
Amitriptyline	CCMSLIB00000078599	decoy	0.17111767789952492
Dexamethasone	CCMSLIB00000004679	decoy	0.16943871095912197
Roxithromycin	CCMSLIB00000085633	decoy	0.16579578801342715
Propranolol	CCMSLIB00000084847	decoy	0.16486337966217332
Ciprofloxacin	CCMSLIB00000078397	decoy	0.16125404994774992
Naproxen	CCMSLIB00000078683	decoy	0.16011627148808916
Atenolol	CCMSLIB00000085982	decoy	0.15595714034901748
Irbesartan	CCMSLIB00000005546	decoy	0.15305520304702308
Sotalol	CCMSLIB00000004507	decoy	0.15061329937844864
Fenofibrate	CCMSLIB00000076999	decoy	0.14417263871190178
Cetirizine	CCMSLIB00000078089	decoy	0.13098049169597936
Ethofumesate	CCMSLIB00000085819	decoy	0.1268272580075713
Sulfathiazole	CCMSLIB00000078578	decoy	0.12634443597735326
Clozapine	CCMSLIB00000084755	decoy	0.11588805557953841
Exemestane	CCMSLIB00000004897	decoy	0.11414046626599536
Metoprolol	CCMSLIB00000084952	decoy	0.11342355165956722
Primidone	CCMSLIB00000078362	decoy	0.10808052457711262
