query	target	target_inchi	score	q-value
Bupropion	Amfebutamone	InChI=1S/C13H18ClNO/c1-9(15-13(2,3)4)12(16)10-6-5-7-11(14)8-10/h5-9,15H,1-4H3	0.9851224005685694	0.0038756537262663038
Ketoprofen	Ketoprofen (Actron)	InChI=1S/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)	0.975022683538113	0.0038756537262663038
Sotalol	N-[4-[1-hydroxy-2-(propan-2-ylamino)ethyl]phenyl]methanesulfonamide	InChI=1S/C12H20N2O3S/c1-9(2)13-8-12(15)10-4-6-11(7-5-10)14-18(3,16)17/h4-7,9,12-15H,8H2,1-3H3	0.9684284832892783	0.0038756537262663038
Flufenamic acid	MLS001148610-01!530-78-9	InChI=1S/C14H10F3NO2/c15-14(16,17)9-4-3-5-10(8-9)18-12-7-2-1-6-11(12)13(19)20/h1-8,18H,(H,19,20)	0.9674959216849953	0.0038756537262663038
Moclobemide	Moclobemide	InChI=1S/C13H17ClN2O2/c14-12-3-1-11(2-4-12)13(17)15-5-6-16-7-9-18-10-8-16/h1-4H,5-10H2,(H,15,17)	0.9659893694244194	0.0038756537262663038
Mefenamic acid	Mefenamic Acid	InChI=1S/C15H15NO2/c1-10-6-5-9-13(11(10)2)16-14-8-4-3-7-12(14)15(17)18/h3-9,16H,1-2H3,(H,17,18)	0.9615808119528895	0.0038756537262663038
Gabapentin	Gabapentin (Neurontin)	InChI=1S/C9H17NO2/c10-7-9(6-8(11)12)4-2-1-3-5-9/h1-7,10H2,(H,11,12)	0.9610987411623332	0.0038756537262663038
Venlafaxine	Venlafaxine hydrochloride	InChI=1S/C17H27NO2/c1-18(2)13-16(17(19)11-5-4-6-12-17)14-7-9-15(20-3)10-8-14/h7-10,16,19H,4-6,11-13H2,1-3H3	0.9584007548535975	0.0038756537262663038
Clarithromycin	Clarithromycin (Biaxin, Klacid)	InChI=1S/C38H69NO13/c1-15-26-38(10,45)31(42)21(4)28(40)19(2)17-37(9,47-14)33(52-35-29(41)25(39(11)12)16-20(3)48-35)22(5)30(23(6)34(44)50-26)51-27-18-36(8,46-13)32(43)24(7)49-27/h19-27,29-33,35,41-43,45H,15-18H2,1-14H3/t19-,20-,21+,22+,23-,24+,25+,26-,27-,29+,30-,31-,32+,33-,35+,36-,37-,38-/m1/s1	0.9578340406664027	0.0038756537262663038
Metoclopramide	4-amino-5-chloro-N-[2-(diethylamino)ethyl]-2-methoxybenzamide	InChI=1S/C14H22ClN3O2/c1-4-18(5-2)7-6-17-14(19)10-8-11(15)12(16)9-13(10)20-3/h8-9H,4-7,16H2,1-3H3,(H,17,19)	0.9562742189004175	0.0038756537262663038
Fluconazole	Fluconazole	InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2	0.9552302415884909	0.0038756537262663038
